Treatment,columba,ant,emf,GA,jruby,argouml,jEdit,jfreechart,sql,jmeter
SVM,0.97,0.88,0.86,0.87,0.9,0.89,0.77,0.89,0.82,0.94
NB,0.97,0.88,0.9,0.86,0.91,0.85,0.78,0.89,0.83,0.92
RF,0.97,0.87,0.9,0.88,0.91,0.9,0.91,0.85,0.87,0.93
TM,0.96,0.88,0.84,0.88,0.92,0.9,0.88,0.84,0.91,0.92
LR,0.98,0.91,0.89,0.88,0.92,0.9,0.85,0.89,0.87,0.94
DT,0.96,0.84,0.88,0.87,0.92,0.89,0.87,0.85,0.89,0.92
