Treatment,apache-ant-1.7.0,apache-jmeter-2.10,argouml,columba-1.4-src,emf-2.4.1,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,jruby-1.4.0,sql12
LR,0.8860189072150252,0.845100186666136,0.9334285223851179,0.8569220918347561,0.8410710104692871,0.8222990232907601,0.8632520592901806,0.8196379508564389,0.8119637923512887,0.7433900119668853
DT,0.6944132212868027,0.5886236990198475,0.833672736919242,0.07140042605065712,0.14086363180252073,0.7147808665164154,0.7457930460980551,0.5733527326894157,0.7442525810673007,0.6517040087948823
RF,0.934120411788845,0.8717624449817609,0.9728063605012209,0.9807476819642702,0.9474964043215027,0.8683395942900269,0.9523509353755525,0.8938556436753996,0.9296531917987508,0.9325010341067398
SVM,0.9034070199853663,0.8602277188848987,0.9288656898085904,0.9052468261687575,0.9050807773354828,0.8546088989064059,0.931378583580117,0.7857908377014176,0.87663588774177,0.8376728949015917
NB,0.6623030710843129,0.7543873425220078,0.7916982663108736,0.6568937705483003,0.6704987122453784,0.5907771934218271,0.41842017182298746,0.636244752322608,0.6835211574814309,0.4712728471225241
