Treatment,apache-ant-1.7.0,apache-jmeter-2.10,argouml,columba-1.4-src,emf-2.4.1,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,jruby-1.4.0,sql12
LR,0.2821576763485477,0.1,0.3153846153846154,0.09941520467836257,0.15736040609137056,0.30434782608695654,0.48514851485148514,0.17834394904458598,0.16,0.1273209549071618
DT,0.10015174506828528,0.0603448275862069,0.0784313725490196,0.04187192118226601,0.07164179104477612,0.15079365079365079,0.26262626262626265,0.06231454005934718,0.07496012759170653,0.07955596669750231
RF,0.5,0.6428571428571429,0.8846153846153846,0.42857142857142855,0.0,0.0,0.5,1.0,1.0,0.3
SVM,0.245136186770428,0.09174311926605505,0.3171355498721228,0.0881057268722467,0.13229571984435798,0.285,0.4549763033175355,0.1925925925925926,0.1371841155234657,0.11192660550458716
NB,0.2,0.25,0.2857142857142857,0.10526315789473684,0.0,0.42857142857142855,0.6190476190476191,0.3333333333333333,0.36363636363636365,0.05
TM,0.4444444444444444,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.5
