Treatment,columba,argouml,emf,jfreechart,jruby,ant,jEdit,GA,sql,jmeter
LR,0.91,0.94,0.81,0.81,0.83,0.89,0.8,0.81,0.7,0.86
RF,0.89,0.87,0.81,0.91,0.83,0.85,0.84,0.83,0.78,0.8
SVM,0.84,0.91,0.75,0.75,0.75,0.84,0.71,0.76,0.58,0.84
NB,0.65,0.75,0.67,0.64,0.67,0.63,0.37,0.57,0.41,0.74
DT,0.85,0.89,0.84,0.72,0.84,0.79,0.86,0.77,0.79,0.78
