Treatment,apache-ant-1.7.0,apache-jmeter-2.10,argouml,columba-1.4-src,emf-2.4.1,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,jruby-1.4.0,sql12
LR,0.8863451573519984,0.8575647993166474,0.9378462306697196,0.9049820837078242,0.8096732113589792,0.8140746306035427,0.8040563356327327,0.80915233907305,0.8310091609713186,0.6977709746704756
DT,0.7896068940732194,0.780092162089489,0.8884329697424383,0.8762544482889169,0.8441984145565765,0.771256365305936,0.8625262834193196,0.7182654897146965,0.8696015704522748,0.78647189331117
RF,0.8999762958884828,0.85024004849185,0.9429942418426317,0.9764502345741387,0.9050406395290501,0.8732748977377056,0.9357233508498464,0.6891729508888931,0.9075796132034212,0.8981211331597637
SVM,0.8940018402547387,0.8667079949578799,0.9384774433156563,0.936166282892585,0.8447703782987863,0.8312546957175131,0.8624704164756134,0.7926585561769753,0.8511451214192388,0.7919742258577588
NB,0.627763886658664,0.7412201489196426,0.7533799915734335,0.6542832867468404,0.670144161621576,0.5738375490441673,0.36887212550977583,0.6364980698073665,0.6709357277882649,0.40962017868478867
TM,0.8111750867239689,0.7062095757650889,0.6895018959786938,0.7741623671670091,0.7215406228049175,0.7588880540946665,0.7709074620933655,0.6992147157972686,0.8912171004798606,0.7350087705521796
