Treatment,columba,ant,emf,GA,jruby,argouml,jEdit,jfreechart,sql,jmeter
SVM,0.02,0.03,0.02,0.03,0.03,0.02,0.01,0.02,0.03,0.02
NB,0.01,0.05,0.03,0.05,0.03,0.01,0.01,0.02,0.13,0.02
RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LR,0.01,0.03,0.02,0.03,0.03,0.02,0.01,0.02,0.03,0.02
DT,0.06,0.03,0.02,0.04,0.08,0.07,0.0,0.06,0.03,0.04
