Treatment,columba_new,columba_old,ant_new,ant_old,emf_new,emf_old,GA_new,GA_old,jruby_new,jruby_old,argouml_new,argouml_old,jEdit_new,jEdit_old,jfreechart_new,jfreechart_old,sql_new,sql_old,jmeter_new,jmeter_old
LR,0.99,0.99,0.9,0.9,0.88,0.87,0.94,0.94,0.98,0.98,0.99,0.99,0.8,0.84,0.92,0.93,0.94,0.94,0.96,0.96
RF,0.99,0.99,0.89,0.87,0.87,0.87,0.94,0.94,0.98,0.98,0.99,0.99,0.8,0.8,0.84,0.84,0.85,0.86,0.94,0.94
SVM,0.99,0.99,0.89,0.89,0.83,0.82,0.93,0.93,0.98,0.98,0.98,0.98,0.8,0.84,0.91,0.91,0.94,0.94,0.95,0.93
NB,0.98,0.98,0.87,0.86,0.87,0.86,0.92,0.89,0.96,0.94,0.96,0.94,0.74,0.73,0.94,0.93,0.78,0.75,0.93,0.91
DT,0.96,0.96,0.87,0.84,0.78,0.76,0.94,0.9,0.95,0.9,0.96,0.95,0.7,0.71,0.79,0.79,0.87,0.83,0.9,0.89
