Treatment,columba,ant,emf,GA,jruby,argouml,jEdit,jfreechart,sql,jmeter
SVM,0.66,0.46,0.41,0.84,0.82,0.9,0.68,0.63,0.48,0.69
NB,0.79,0.33,0.38,0.76,0.82,0.96,0.58,0.59,0.19,0.7
RF,0.96,0.76,0.87,0.99,0.99,0.99,0.88,0.97,0.9,0.94
TM,0.98,0.82,0.94,0.98,0.99,1.0,0.86,0.95,0.96,0.99
LR,0.76,0.47,0.49,0.84,0.84,0.89,0.72,0.67,0.53,0.68
DT,0.37,0.33,0.49,0.82,0.66,0.73,0.73,0.39,0.52,0.5
