Metrics,sql12,apache-jmeter-2.10,emf-2.4.1,apache-ant-1.7.0,argouml,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,columba-1.4-src,jruby-1.4.0
Precision,0.8516483516483516,0.8691588785046729,0.6938775510204082,0.8888888888888888,0.8479293957909029,0.9435483870967742,0.9482758620689655,0.7205882352941176,0.9128205128205128,0.9255014326647565
Recall,0.541958041958042,0.7459893048128342,0.3269230769230769,0.24427480916030533,0.883934890304317,0.7436440677966102,0.21484375,0.4688995215311005,0.8725490196078431,0.5192926045016077
F1,0.6623931623931625,0.8028776978417267,0.4444444444444444,0.3832335329341317,0.8655578655578655,0.8317535545023697,0.3503184713375796,0.5681159420289854,0.8922305764411027,0.6652935118434604
