Treatment,columba,argouml,emf,jfreechart,jruby,ant,jEdit,GA,sql,jmeter
LR,0.1,0.31,0.16,0.18,0.16,0.28,0.49,0.3,0.13,0.1
RF,0.57,0.85,0.0,1.0,1.0,0.5,0.75,0.5,0.3,0.71
SVM,0.12,0.35,0.2,0.15,0.14,0.28,0.42,0.32,0.1,0.11
NB,0.11,0.29,0.0,0.33,0.36,0.2,0.62,0.43,0.05,0.25
DT,0.04,0.08,0.07,0.06,0.07,0.1,0.26,0.15,0.08,0.06
