Treatment,columba,argouml,emf,jfreechart,jruby,ant,jEdit,GA,sql,jmeter
LR,0.02,0.03,0.04,0.03,0.05,0.04,0.01,0.05,0.05,0.03
RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM,0.02,0.03,0.02,0.03,0.03,0.04,0.01,0.04,0.04,0.02
NB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DT,0.06,0.08,0.15,0.08,0.14,0.15,0.04,0.17,0.14,0.1
