Treatment,columba,ant,emf,GA,jruby,argouml,jEdit,jfreechart,sql,jmeter
SVM,0.95,0.67,0.61,0.84,0.91,0.92,0.47,0.65,0.66,0.81
NB,0.93,0.65,0.67,0.83,0.92,0.76,0.53,0.53,0.67,0.77
RF,0.73,0.16,0.34,0.57,0.55,0.55,0.12,0.45,0.45,0.59
TM,0.88,0.35,0.4,0.75,0.83,0.89,0.23,0.43,0.59,0.76
LR,0.95,0.72,0.58,0.86,0.94,0.91,0.53,0.64,0.68,0.81
DT,0.93,0.37,0.52,0.8,0.95,0.93,0.38,0.6,0.64,0.81
