Treatment,sql12,apache-jmeter-2.10,emf-2.4.1,apache-ant-1.7.0,argouml,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,columba-1.4-src,jruby-1.4.0
LR,0.18897637795275588,0.14285714285714285,0.23134328358208955,0.39999999999999997,0.44244604316546765,0.3672131147540984,0.4888888888888889,0.2097378277153558,0.17258883248730963,0.24999999999999997
DT,0.1419141914191419,0.10804851157662626,0.12972972972972974,0.17414248021108178,0.12575574365175332,0.2432,0.37356321839080464,0.09375000000000001,0.07870370370370369,0.13583815028901733
RF,0.04255319148936171,0.17857142857142858,0.0,0.03921568627450981,0.5655737704918034,0.0,0.0196078431372549,0.035398230088495575,0.1764705882352941,0.059701492537313446
SVM,0.12174875484228004,0.1728395061728395,0.1105527638190955,0.08704253214638971,0.15257731958762888,0.30327868852459017,0.41640378548895896,0.1777777777777778,0.14189189189189189,0.23095823095823095
NB,0.013245033112582781,0.038834951456310676,0.0,0.06722689075630253,0.023391812865497075,0.04687500000000001,0.11711711711711711,0.03418803418803419,0.08888888888888889,0.10526315789473685
TM,0.015037593984962405,0.0,0.0,0.07407407407407408,0.02395209580838323,0.0,0.019704433497536946,0.0,0.0,0.0
