Treatment,columba_new,columba_old,ant_new,ant_old,emf_new,emf_old,GA_new,GA_old,jruby_new,jruby_old,argouml_new,argouml_old,jEdit_new,jEdit_old,jfreechart_new,jfreechart_old,sql_new,sql_old,jmeter_new,jmeter_old
LR,0.72,0.78,0.42,0.43,0.35,0.35,0.76,0.76,0.83,0.82,0.85,0.86,0.51,0.52,0.48,0.49,0.62,0.59,0.62,0.64
RF,0.84,0.87,0.43,0.44,0.42,0.49,0.83,0.8,0.83,0.88,0.92,0.95,0.37,0.36,0.45,0.56,0.68,0.66,0.75,0.75
SVM,0.6,0.64,0.4,0.39,0.3,0.25,0.76,0.75,0.8,0.81,0.83,0.83,0.52,0.53,0.45,0.46,0.54,0.57,0.64,0.66
NB,0.78,0.59,0.31,0.15,0.41,0.31,0.66,0.38,0.63,0.28,0.55,0.24,0.31,0.24,0.54,0.3,0.28,0.18,0.59,0.32
DT,0.74,0.77,0.46,0.48,0.35,0.32,0.77,0.75,0.85,0.78,0.9,0.89,0.42,0.41,0.4,0.48,0.59,0.55,0.63,0.66
