Double Check,sql12,apache-jmeter-2.10,emf-2.4.1,apache-ant-1.7.0,argouml,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,columba-1.4-src,jruby-1.4.0
yes (Easy),27,42,15,4,217,21,3,38,16,43
no (GT),0,0,0,0,7,0,0,0,1,0
