Project,label,original,questioned,changed
columba,yes,204,0,0
columba,no,6264,90,27
argouml,yes,1413,11,1
argouml,no,8039,331,247
emf,yes,104,7,0
emf,no,4286,58,26
jfreechart,yes,209,11,0
jfreechart,no,4199,61,18
jruby,yes,622,15,4
jruby,no,4275,92,50
ant,yes,131,14,2
ant,no,3967,35,12
jEdit,yes,256,10,0
jEdit,no,10066,39,7
GA,yes,472,12,2
GA,no,2496,102,40
sql,yes,286,10,0
sql,no,6929,35,25
jmeter,yes,374,12,0
jmeter,no,7683,87,53
