Treatment,sql12,apache-jmeter-2.10,emf-2.4.1,apache-ant-1.7.0,argouml,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,columba-1.4-src,jruby-1.4.0,Median,IQR,,best rank,cohen*sd
Diamond,0.97,0.97,0.95,0.93,1,0.96,0.94,0.97,1,0.99,0.97,0.03,,10,0.01
Easy+RF,0.93,0.95,0.91,0.87,0.99,0.95,0.87,0.88,0.99,0.99,0.94,0.09,,4,
Hard,0.95,0.95,0.95,0.91,0.91,0.89,0.95,0.9,0.98,0.92,0.93,0.04,,2,
MAT+RF,0.91,0.97,0.88,0.92,0.99,0.96,0.86,0.87,0.98,0.98,0.94,0.09,,5,
TM,0.83,0.94,0.9,0.88,0.91,0.88,0.92,0.84,0.98,0.91,0.9,0.04,,0,
RF,0.91,0.93,0.84,0.88,0.9,0.88,0.88,0.84,0.97,0.92,0.89,0.04,,0,
