Treatment,sql12,apache-jmeter-2.10,emf-2.4.1,apache-ant-1.7.0,argouml,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,columba-1.4-src,jruby-1.4.0
LR,0.6942179886967288,0.8526465465629288,0.8044920525224458,0.8772635264511303,0.9290339886104556,0.7997650549478474,0.798194336191169,0.8000767621553854,0.9035978368833694,0.826888168847675
DT,0.7812070251148712,0.7767171937080573,0.8387632869318868,0.7826716201900967,0.8805118007943122,0.7588056641495433,0.855475642054781,0.7127113068124318,0.874774675348578,0.8641270295912504
RF,0.842448305317464,0.8067449518314906,0.8148550366933062,0.8120819221262322,0.8655655547030491,0.78325523055177,0.8137905561824504,0.8552442892330528,0.8033820157206141,0.7989831904190733
SVM,0.5255181950303962,0.5107712404071161,0.6081087307072017,0.5661862345761768,0.5028764531284841,0.4770785314979183,0.5224307147039473,0.5711779194925118,0.6136065433052611,0.4844453196326504
NB,0.4113747296007966,0.7383225385075689,0.6675157139566226,0.6247730878454575,0.7482346953436027,0.570588572374534,0.37148871775184666,0.6330684617201301,0.6537235281854922,0.6684663718873569
TM,0.7307024789351847,0.7037419038806975,0.7180833909237352,0.8037141478795421,0.6856695471956057,0.7470138420201444,0.7656509928922042,0.6941555319364312,0.7731057401071718,0.8854155851130495
