Metrics,apache-ant-1.7.0,apache-jmeter-2.10,argouml,columba-1.4-src,emf-2.4.1,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,jruby-1.4.0,sql12
Precision,0.12007874015748031,0.12872676253945983,0.6200621393697292,0.3284552845528455,0.10427528675703858,0.48175965665236054,0.155893536121673,0.2251655629139073,0.6458557588805167,0.21351766513056836
Recall,0.9312977099236641,0.9812834224598931,0.9886765746638358,0.9901960784313726,0.9615384615384616,0.951271186440678,0.9609375,0.9760765550239234,0.9646302250803859,0.972027972027972
F1,0.2127288578901482,0.2275968992248062,0.7621385706492091,0.4932844932844933,0.18814675446848542,0.6396011396011396,0.2682660850599781,0.36591928251121075,0.7736943907156673,0.3501259445843828
Cost,0.23914104441190825,0.3140126597989326,0.08252221752010157,0.06493506493506493,0.2072892938496583,0.18867924528301888,0.1472582832784344,0.17468239564428312,0.11843986113947315,0.15523215523215522
