Treatment,columba,ant,emf,GA,jruby,argouml,jEdit,jfreechart,sql,jmeter
SVM,0.98,0.9,0.87,0.94,0.96,0.97,0.78,0.92,0.84,0.96
NB,0.98,0.89,0.91,0.94,0.98,0.93,0.78,0.92,0.85,0.95
RF,0.99,0.89,0.91,0.95,0.98,0.99,0.92,0.87,0.89,0.96
TM,0.98,0.89,0.85,0.95,0.99,0.98,0.89,0.86,0.93,0.94
LR,0.99,0.93,0.9,0.95,0.98,0.99,0.86,0.92,0.89,0.97
DT,0.98,0.86,0.89,0.94,0.99,0.98,0.88,0.87,0.91,0.94
