Treatment,columba_new,columba_old,ant_new,ant_old,emf_new,emf_old,GA_new,GA_old,jruby_new,jruby_old,argouml_new,argouml_old,jEdit_new,jEdit_old,jfreechart_new,jfreechart_old,sql_new,sql_old,jmeter_new,jmeter_old
LR,0.95,0.96,0.67,0.67,0.55,0.56,0.84,0.84,0.95,0.94,0.92,0.92,0.47,0.46,0.59,0.56,0.73,0.73,0.82,0.79
RF,0.85,0.86,0.32,0.32,0.35,0.38,0.74,0.69,0.77,0.83,0.88,0.93,0.25,0.24,0.48,0.47,0.56,0.51,0.74,0.68
SVM,0.96,0.96,0.73,0.68,0.55,0.57,0.84,0.83,0.93,0.93,0.91,0.9,0.5,0.49,0.59,0.57,0.72,0.73,0.84,0.82
NB,0.66,0.43,0.2,0.09,0.28,0.18,0.49,0.23,0.47,0.17,0.38,0.14,0.19,0.14,0.38,0.18,0.31,0.16,0.43,0.2
DT,0.92,0.9,0.59,0.63,0.46,0.38,0.79,0.74,0.93,0.79,0.94,0.92,0.37,0.35,0.52,0.48,0.72,0.63,0.78,0.74
