Treatment,columba_new,columba_old,ant_new,ant_old,emf_new,emf_old,GA_new,GA_old,jruby_new,jruby_old,argouml_new,argouml_old,jEdit_new,jEdit_old,jfreechart_new,jfreechart_old,sql_new,sql_old,jmeter_new,jmeter_old
LR,0.98,0.98,0.89,0.89,0.87,0.86,0.87,0.87,0.92,0.92,0.91,0.91,0.8,0.83,0.9,0.91,0.93,0.93,0.94,0.93
RF,0.97,0.97,0.87,0.88,0.86,0.86,0.86,0.87,0.92,0.92,0.91,0.91,0.81,0.8,0.89,0.85,0.85,0.84,0.92,0.92
SVM,0.98,0.98,0.88,0.88,0.83,0.81,0.86,0.86,0.92,0.91,0.91,0.91,0.79,0.83,0.89,0.89,0.92,0.92,0.93,0.91
NB,0.97,0.96,0.85,0.85,0.86,0.85,0.85,0.83,0.9,0.89,0.89,0.87,0.73,0.73,0.92,0.91,0.77,0.74,0.91,0.89
DT,0.94,0.94,0.82,0.86,0.83,0.75,0.86,0.84,0.9,0.85,0.89,0.88,0.72,0.69,0.81,0.77,0.85,0.82,0.88,0.87
