Metrics,sql12,apache-jmeter-2.10,emf-2.4.1,apache-ant-1.7.0,argouml,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,columba-1.4-src,jruby-1.4.0
Precision,1.0,1.0,1.0,1.0,0.9952477936184657,1.0,1.0,1.0,0.9948717948717949,1.0
Recall,0.5814696485623003,0.7716346153846154,0.4117647058823529,0.26666666666666666,0.8993865030674847,0.7545638945233266,0.22393822393822393,0.5506072874493927,0.8818181818181818,0.9022556390977443
F1,0.7353535353535353,0.8710990502035278,0.5833333333333334,0.4210526315789474,0.9448920399613278,0.8601156069364162,0.3659305993690852,0.7101827676240209,0.9349397590361446,0.9486166007905138
