Treatment,apache-ant-1.7.0,apache-jmeter-2.10,argouml,columba-1.4-src,emf-2.4.1,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,jruby-1.4.0,sql12
LR,0.6868686868686869,0.25263157894736843,0.75,0.6538461538461539,0.44285714285714284,0.4628099173553719,0.48756218905472637,0.25225225225225223,0.5538461538461539,0.366412213740458
DT,0.6666666666666666,0.5157894736842106,0.3170731707317073,0.6538461538461539,0.6857142857142857,0.628099173553719,0.6467661691542289,0.1891891891891892,0.7230769230769231,0.6564885496183206
RF,0.010101010101010102,0.09473684210526316,0.42073170731707316,0.11538461538461539,0.0,0.0,0.004975124378109453,0.02702702702702703,0.03076923076923077,0.022900763358778626
SVM,0.6363636363636364,0.21052631578947367,0.7560975609756098,0.7692307692307693,0.4857142857142857,0.47107438016528924,0.47761194029850745,0.23423423423423423,0.5846153846153846,0.46564885496183206
NB,0.04040404040404041,0.021052631578947368,0.012195121951219513,0.07692307692307693,0.0,0.024793388429752067,0.06467661691542288,0.018018018018018018,0.06153846153846154,0.007633587786259542
TM,0.04040404040404041,0.0,0.012195121951219513,0.0,0.0,0.0,0.009950248756218905,0.0,0.0,0.007633587786259542
