Treatment,columba,ant,emf,GA,jruby,argouml,jEdit,jfreechart,sql,jmeter
SVM,0.78,0.55,0.49,0.84,0.86,0.91,0.56,0.64,0.56,0.74
NB,0.86,0.44,0.49,0.79,0.87,0.85,0.55,0.56,0.3,0.73
RF,0.83,0.26,0.49,0.72,0.71,0.71,0.21,0.61,0.6,0.73
TM,0.93,0.49,0.56,0.85,0.91,0.94,0.36,0.59,0.73,0.86
LR,0.85,0.57,0.53,0.85,0.89,0.9,0.61,0.66,0.59,0.74
DT,0.52,0.35,0.5,0.81,0.78,0.81,0.5,0.48,0.58,0.62
