Treatment,columba_new,columba_old,ant_new,ant_old,emf_new,emf_old,GA_new,GA_old,jruby_new,jruby_old,argouml_new,argouml_old,jEdit_new,jEdit_old,jfreechart_new,jfreechart_old,sql_new,sql_old,jmeter_new,jmeter_old
LR,0.58,0.65,0.31,0.32,0.27,0.26,0.7,0.7,0.74,0.72,0.79,0.8,0.56,0.59,0.41,0.43,0.53,0.5,0.5,0.53
RF,0.83,0.84,0.65,0.72,0.58,0.73,0.94,0.95,0.92,0.96,0.97,0.97,0.64,0.72,0.45,0.62,0.37,0.88,0.82,0.88
SVM,0.44,0.48,0.28,0.27,0.21,0.16,0.69,0.69,0.7,0.72,0.76,0.77,0.55,0.59,0.37,0.38,0.44,0.47,0.51,0.55
NB,0.96,0.95,0.68,0.65,0.76,1.0,0.99,0.98,0.97,0.93,1.0,0.99,0.82,0.78,0.91,0.9,0.25,0.21,0.95,0.92
DT,0.64,0.68,0.41,0.38,0.25,0.29,0.75,0.77,0.78,0.78,0.86,0.87,0.48,0.5,0.33,0.47,0.5,0.49,0.54,0.61
