Metrics,sql12,apache-jmeter-2.10,emf-2.4.1,apache-ant-1.7.0,argouml,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,columba-1.4-src,jruby-1.4.0
Precision,1.0,0.9968944099378882,1.0,0.9565217391304348,0.9931972789115646,0.994535519125683,0.847457627118644,1.0,0.9947916666666666,0.9950576606260296
Recall,0.5782747603833865,0.7716346153846154,0.37815126050420167,0.4888888888888889,0.8957055214723927,0.7383367139959433,0.19305019305019305,0.5465587044534413,0.8681818181818182,0.9082706766917293
F1,0.7327935222672065,0.8699186991869919,0.5487804878048781,0.6470588235294117,0.9419354838709678,0.8474970896391153,0.31446540880503143,0.7068062827225131,0.9271844660194175,0.949685534591195
