Treatment,apache-ant-1.7.0,apache-jmeter-2.10,argouml,columba-1.4-src,emf-2.4.1,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,jruby-1.4.0,sql12
LR,0.8767338575315307,0.8409269036085646,0.9245825169117536,0.8555224466271947,0.8356863132260504,0.807469215194395,0.856187205050394,0.8114497924891028,0.8073611285154135,0.738927607364594
DT,0.6897980295321219,0.5876000108855137,0.8268771072846672,0.07325656966976923,0.14677000032909152,0.7049624979306727,0.7410283927207885,0.5715638391200116,0.7406741733946841,0.6489493912558639
RF,0.9236630211519345,0.8672617427746199,0.9631509847495989,0.9788348109725461,0.9403955638924556,0.8513638273758835,0.9435412570815305,0.8837390761548072,0.9232702601099139,0.9245161577427784
SVM,0.8936981832106874,0.85586866597714,0.9201134685867299,0.9036468871476194,0.8986639023266447,0.8382731220313376,0.9229796070312277,0.7784821338192569,0.8710549399401891,0.8314543325197344
NB,0.6584704753094779,0.751328035704578,0.7857653780197879,0.656323192191188,0.6678645473393207,0.5867386570566261,0.42006646424929966,0.6328217262205776,0.6808614238914549,0.47187902613958194
