Treatment,columba,argouml,emf,jfreechart,jruby,ant,jEdit,GA,sql,jmeter,median,iqr
LR,0.17,0.44,0.23,0.21,0.25,0.4,0.49,0.37,0.19,0.14,0.24,0.185
RF,0.18,0.57,0,0.05,0.06,0.02,0.01,0,0.04,0.18,0.045,0.105
SVM,0.2,0.46,0.26,0.16,0.21,0.37,0.38,0.35,0.15,0.15,0.235,0.18
NB,0.09,0.02,0,0.03,0.11,0.07,0.12,0.05,0.01,0.04,0.045,0.055
DT,0.08,0.13,0.13,0.09,0.14,0.17,0.37,0.24,0.14,0.11,0.135,0.035
