Treatment,apache-ant-1.7.0,apache-jmeter-2.10,argouml,columba-1.4-src,emf-2.4.1,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,jruby-1.4.0,sql12
LR,"[0.00000000e+00 2.46184146e-04 4.92368291e-04 ... 9.99507632e-01
 9.99753816e-01 1.00000000e+00]","[0.00000000e+00 1.29265770e-04 2.58531541e-04 ... 9.99741468e-01
 9.99870734e-01 1.00000000e+00]","[0.00000000e+00 1.25328989e-04 2.50657977e-04 ... 9.99749342e-01
 9.99874671e-01 1.00000000e+00]","[0.00000000e+00 1.59413359e-04 3.18826718e-04 ... 9.99681173e-01
 9.99840587e-01 1.00000000e+00]","[0.00000000e+00 2.30361668e-04 4.60723336e-04 ... 9.99539277e-01
 9.99769638e-01 1.00000000e+00]","[0.00000000e+00 3.85208012e-04 7.70416025e-04 ... 9.99229584e-01
 9.99614792e-01 1.00000000e+00]","[0.00000000e+00 9.74279034e-05 1.94855807e-04 ... 9.99805144e-01
 9.99902572e-01 1.00000000e+00]","[0.00000000e+00 2.34082397e-04 4.68164794e-04 ... 9.99531835e-01
 9.99765918e-01 1.00000000e+00]","[0.00000000e+00 2.32720503e-04 4.65441005e-04 ... 9.99534559e-01
 9.99767279e-01 1.00000000e+00]","[0.00000000e+00 1.42186833e-04 2.84373667e-04 ... 9.99715626e-01
 9.99857813e-01 1.00000000e+00]"
DT,"[0.00000000e+00 2.46184146e-04 4.92368291e-04 ... 9.99507632e-01
 9.99753816e-01 1.00000000e+00]","[0.00000000e+00 1.29265770e-04 2.58531541e-04 ... 9.99741468e-01
 9.99870734e-01 1.00000000e+00]","[0.00000000e+00 1.25328989e-04 2.50657977e-04 ... 9.99749342e-01
 9.99874671e-01 1.00000000e+00]","[0.00000000e+00 1.59413359e-04 3.18826718e-04 ... 9.99681173e-01
 9.99840587e-01 1.00000000e+00]","[0.00000000e+00 2.30361668e-04 4.60723336e-04 ... 9.99539277e-01
 9.99769638e-01 1.00000000e+00]","[0.00000000e+00 3.85208012e-04 7.70416025e-04 ... 9.99229584e-01
 9.99614792e-01 1.00000000e+00]","[0.00000000e+00 9.74279034e-05 1.94855807e-04 ... 9.99805144e-01
 9.99902572e-01 1.00000000e+00]","[0.00000000e+00 2.34082397e-04 4.68164794e-04 ... 9.99531835e-01
 9.99765918e-01 1.00000000e+00]","[0.00000000e+00 2.32720503e-04 4.65441005e-04 ... 9.99534559e-01
 9.99767279e-01 1.00000000e+00]","[0.00000000e+00 1.42186833e-04 2.84373667e-04 ... 9.99715626e-01
 9.99857813e-01 1.00000000e+00]"
RF,"[0.00000000e+00 2.46184146e-04 4.92368291e-04 ... 9.99507632e-01
 9.99753816e-01 1.00000000e+00]","[0.00000000e+00 1.29265770e-04 2.58531541e-04 ... 9.99741468e-01
 9.99870734e-01 1.00000000e+00]","[0.00000000e+00 1.25328989e-04 2.50657977e-04 ... 9.99749342e-01
 9.99874671e-01 1.00000000e+00]","[0.00000000e+00 1.59413359e-04 3.18826718e-04 ... 9.99681173e-01
 9.99840587e-01 1.00000000e+00]","[0.00000000e+00 2.30361668e-04 4.60723336e-04 ... 9.99539277e-01
 9.99769638e-01 1.00000000e+00]","[0.00000000e+00 3.85208012e-04 7.70416025e-04 ... 9.99229584e-01
 9.99614792e-01 1.00000000e+00]","[0.00000000e+00 9.74279034e-05 1.94855807e-04 ... 9.99805144e-01
 9.99902572e-01 1.00000000e+00]","[0.00000000e+00 2.34082397e-04 4.68164794e-04 ... 9.99531835e-01
 9.99765918e-01 1.00000000e+00]","[0.00000000e+00 2.32720503e-04 4.65441005e-04 ... 9.99534559e-01
 9.99767279e-01 1.00000000e+00]","[0.00000000e+00 1.42186833e-04 2.84373667e-04 ... 9.99715626e-01
 9.99857813e-01 1.00000000e+00]"
SVM,"[0.00000000e+00 2.46184146e-04 4.92368291e-04 ... 9.99507632e-01
 9.99753816e-01 1.00000000e+00]","[0.00000000e+00 1.29265770e-04 2.58531541e-04 ... 9.99741468e-01
 9.99870734e-01 1.00000000e+00]","[0.00000000e+00 1.25328989e-04 2.50657977e-04 ... 9.99749342e-01
 9.99874671e-01 1.00000000e+00]","[0.00000000e+00 1.59413359e-04 3.18826718e-04 ... 9.99681173e-01
 9.99840587e-01 1.00000000e+00]","[0.00000000e+00 2.30361668e-04 4.60723336e-04 ... 9.99539277e-01
 9.99769638e-01 1.00000000e+00]","[0.00000000e+00 3.85208012e-04 7.70416025e-04 ... 9.99229584e-01
 9.99614792e-01 1.00000000e+00]","[0.00000000e+00 9.74279034e-05 1.94855807e-04 ... 9.99805144e-01
 9.99902572e-01 1.00000000e+00]","[0.00000000e+00 2.34082397e-04 4.68164794e-04 ... 9.99531835e-01
 9.99765918e-01 1.00000000e+00]","[0.00000000e+00 2.32720503e-04 4.65441005e-04 ... 9.99534559e-01
 9.99767279e-01 1.00000000e+00]","[0.00000000e+00 1.42186833e-04 2.84373667e-04 ... 9.99715626e-01
 9.99857813e-01 1.00000000e+00]"
NB,"[0.00000000e+00 2.46184146e-04 4.92368291e-04 ... 9.99507632e-01
 9.99753816e-01 1.00000000e+00]","[0.00000000e+00 1.29265770e-04 2.58531541e-04 ... 9.99741468e-01
 9.99870734e-01 1.00000000e+00]","[0.00000000e+00 1.25328989e-04 2.50657977e-04 ... 9.99749342e-01
 9.99874671e-01 1.00000000e+00]","[0.00000000e+00 1.59413359e-04 3.18826718e-04 ... 9.99681173e-01
 9.99840587e-01 1.00000000e+00]","[0.00000000e+00 2.30361668e-04 4.60723336e-04 ... 9.99539277e-01
 9.99769638e-01 1.00000000e+00]","[0.00000000e+00 3.85208012e-04 7.70416025e-04 ... 9.99229584e-01
 9.99614792e-01 1.00000000e+00]","[0.00000000e+00 9.74279034e-05 1.94855807e-04 ... 9.99805144e-01
 9.99902572e-01 1.00000000e+00]","[0.00000000e+00 2.34082397e-04 4.68164794e-04 ... 9.99531835e-01
 9.99765918e-01 1.00000000e+00]","[0.00000000e+00 2.32720503e-04 4.65441005e-04 ... 9.99534559e-01
 9.99767279e-01 1.00000000e+00]","[0.00000000e+00 1.42186833e-04 2.84373667e-04 ... 9.99715626e-01
 9.99857813e-01 1.00000000e+00]"
TM,"[0.00000000e+00 2.46184146e-04 4.92368291e-04 ... 9.99507632e-01
 9.99753816e-01 1.00000000e+00]","[0.00000000e+00 1.29265770e-04 2.58531541e-04 ... 9.99741468e-01
 9.99870734e-01 1.00000000e+00]","[0.00000000e+00 1.25328989e-04 2.50657977e-04 ... 9.99749342e-01
 9.99874671e-01 1.00000000e+00]","[0.00000000e+00 1.59413359e-04 3.18826718e-04 ... 9.99681173e-01
 9.99840587e-01 1.00000000e+00]","[0.00000000e+00 2.30361668e-04 4.60723336e-04 ... 9.99539277e-01
 9.99769638e-01 1.00000000e+00]","[0.00000000e+00 3.85208012e-04 7.70416025e-04 ... 9.99229584e-01
 9.99614792e-01 1.00000000e+00]","[0.00000000e+00 9.74279034e-05 1.94855807e-04 ... 9.99805144e-01
 9.99902572e-01 1.00000000e+00]","[0.00000000e+00 2.34082397e-04 4.68164794e-04 ... 9.99531835e-01
 9.99765918e-01 1.00000000e+00]","[0.00000000e+00 2.32720503e-04 4.65441005e-04 ... 9.99534559e-01
 9.99767279e-01 1.00000000e+00]","[0.00000000e+00 1.42186833e-04 2.84373667e-04 ... 9.99715626e-01
 9.99857813e-01 1.00000000e+00]"
