Treatment,sql12,apache-jmeter-2.10,emf-2.4.1,apache-ant-1.7.0,argouml,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,columba-1.4-src,jruby-1.4.0
LR,[0.         0.00763359 0.00763359 ... 1.         1.         1.        ],[0. 0. 0. ... 1. 1. 1.],[0.         0.01428571 0.01428571 ... 1.         1.         1.        ],[0. 0. 0. ... 1. 1. 1.],[0.         0.         0.00609756 ... 1.         1.         1.        ],[0.         0.         0.00826446 ... 1.         1.         1.        ],[0.         0.00497512 0.00995025 ... 1.         1.         1.        ],[0.         0.         0.00900901 ... 1.         1.         1.        ],[0.         0.03846154 0.07692308 ... 1.         1.         1.        ],[0. 0. 0. ... 1. 1. 1.]
DT,[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0.         0.         0.01428571 ... 1.         1.         1.        ],[0.         0.         0.         ... 0.98989899 0.98989899 1.        ],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0.         0.         0.00497512 ... 0.99502488 0.99502488 1.        ],[0.         0.00900901 0.01801802 ... 1.         1.         1.        ],[0.         0.03846154 0.03846154 ... 1.         1.         1.        ],[0.         0.         0.01538462 ... 1.         1.         1.        ]
RF,[0. 0. 0. ... 1. 1. 1.],[0.         0.         0.01052632 ... 1.         1.         1.        ],[0.         0.         0.         ... 0.98571429 0.98571429 1.        ],[0.         0.01010101 0.02020202 ... 1.         1.         1.        ],[0.         0.         0.00609756 ... 1.         1.         1.        ],[0. 0. 0. ... 1. 1. 1.],[0.         0.00497512 0.00995025 ... 1.         1.         1.        ],[0.         0.00900901 0.01801802 ... 1.         1.         1.        ],[0.         0.03846154 0.07692308 ... 0.96153846 0.96153846 1.        ],[0.         0.01538462 0.03076923 ... 1.         1.         1.        ]
SVM,[0.         0.         0.         ... 0.99236641 0.99236641 1.        ],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.]
NB,[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0.         0.01010101 0.01010101 ... 0.98989899 0.98989899 1.        ],[0. 0. 0. ... 1. 1. 1.],[0.         0.00826446 0.00826446 ... 0.99173554 0.99173554 1.        ],[0.         0.00497512 0.00995025 ... 1.         1.         1.        ],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0.         0.01538462 0.03076923 ... 1.         1.         1.        ]
TM,[0.         0.         0.00763359 ... 1.         1.         1.        ],[0. 0. 0. ... 1. 1. 1.],[0.         0.         0.         ... 0.98571429 0.98571429 1.        ],[0.         0.01010101 0.02020202 ... 0.98989899 0.98989899 1.        ],[0.         0.00609756 0.00609756 ... 0.99390244 0.99390244 1.        ],[0. 0. 0. ... 1. 1. 1.],[0.         0.00497512 0.00995025 ... 0.99502488 0.99502488 1.        ],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0.         0.         0.01538462 ... 1.         1.         1.        ]
