Targeting 90% Recall,sql12,apache-jmeter-2.10,emf-2.4.1,apache-ant-1.7.0,argouml,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,columba-1.4-src,jruby-1.4.0,median,iqr
Recall,0.923664122,0.926315789,0.985714286,0.868686869,0.884146341,0.809917355,0.935323383,0.990990991,1,0.923076923,0.924989956,0.079237573
Cost,0.183421015,0.347724922,0.276434001,0.243722304,0.122822409,0.250385208,0.17147311,0.189606742,0.23114937,0.267628578,0.237435837,0.078350289
