Treatment,columba,argouml,emf,jfreechart,jruby,ant,jEdit,GA,sql,jmeter
LR,0.9201216446553605,0.934718116763822,0.8329121005693224,0.81445806761818,0.8260593258266052,0.8942116885248348,0.8549388191544227,0.807448522201989,0.7417317270924529,0.8393056387089751
DT,0.7802732099719187,0.7952747150293911,0.7111149504722415,0.5331859246887336,0.810096489500725,0.7694771446617827,0.7490693454008213,0.7680729412064333,0.7066615074192222,0.6419841615413922
RF,0.9766612711375982,0.9597223962902619,0.9262118669167736,0.8860071447852347,0.9118759062673422,0.9013808692538383,0.9212566842327722,0.8275143577531867,0.9079953501649258,0.8540813966145975
NB,0.6564151614366821,0.7856744380828944,0.6676506400763484,0.6371311620609373,0.6814468054635614,0.6586358414275697,0.42012293365596026,0.5864887493792101,0.47267407847193654,0.7512838132041583
SVM,0.9716336190511226,0.9167800231705788,0.9108401619113438,0.7885603299929143,0.9175023719589696,0.8983495715401182,0.9472726003652818,0.8317818894930535,0.9062310394942925,0.8565333641756925
