Treatment,apache-ant-1.7.0,apache-jmeter-2.10,argouml,columba-1.4-src,emf-2.4.1,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,jruby-1.4.0,sql12
Jitterbug,0.9516883019784858,0.9707149814262138,0.9971763611522055,0.9977061750669316,0.9691155319538274,0.9676857827770398,0.9630213822802496,0.9522994997893511,0.9931239961908553,0.9717496340829626
Easy+RF,0.9266492836515573,0.9658000110738658,0.9941795439322666,0.9971983762076605,0.9441415526641463,0.9688970844346149,0.9501173495012317,0.8603165892658642,0.9909664283582359,0.9573606020572709
Hard,0.9423388566461885,0.9702330167215774,0.996320665481823,0.9973227796531268,0.9663786844637139,0.9692986661749113,0.9559278476100724,0.9087127724474562,0.9922555680316154,0.9715774378495425
MAT+RF,0.9292473902112891,0.9731125356125339,0.9946684120453197,0.9972325689675249,0.9385753833258949,0.9669514618804584,0.9558890956088639,0.8580164570374439,0.9934199866395701,0.9559274850184657
TM,0.9229577293670137,0.9673909350366812,0.9943563301871794,0.9945291584216074,0.9543865310113945,0.9615686274509653,0.9707829093698085,0.9181944934990136,0.9910936367383523,0.8992925141853392
RF,0.8884440332333319,0.9546323980953009,0.9813754817699949,0.9852854731696005,0.8501325137875312,0.9510529227364921,0.8853946008870047,0.8641890623069269,0.986141037849824,0.9321051544998333
