Metrics,apache-ant-1.7.0,apache-jmeter-2.10,argouml,columba-1.4-src,emf-2.4.1,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,jruby-1.4.0,sql12
Precision,0.13839285714285715,0.1380006731740155,0.6995244271508863,0.38761061946902653,0.1055004508566276,0.5164473684210527,0.15752551020408162,0.28913738019169327,0.4645390070921986,0.20720108695652173
Recall,0.9185185185185185,0.9855769230769231,0.992638036809816,0.9954545454545455,0.9831932773109243,0.9553752535496958,0.9536679536679536,0.7327935222672065,0.9849624060150376,0.9744408945686901
F1,0.2405431619786615,0.24210215529967521,0.8206949023586102,0.5579617834394904,0.19055374592833876,0.6704626334519573,0.2703886152162014,0.4146620847651775,0.6313253012048192,0.34173669467787116
