Treatment,sql,jmeter,emf,ant,argouml,GA,jEdit,jfreechart,columba,jruby,median,iqr
LR,0.69,0.85,0.8,0.88,0.93,0.8,0.8,0.8,0.9,0.83,0.82,0.07
LR_c,0.74,0.84,0.83,0.89,0.93,0.81,0.85,0.81,0.92,0.83,0.84,0.07
DT,0.78,0.78,0.84,0.78,0.88,0.76,0.86,0.71,0.87,0.86,0.81,0.08
DT_c,0.71,0.64,0.71,0.77,0.8,0.77,0.75,0.53,0.78,0.81,0.76,0.07
RF,0.82,0.79,0.81,0.83,0.88,0.78,0.82,0.73,0.91,0.83,0.82,0.03
RF_c,0.91,0.85,0.93,0.9,0.96,0.83,0.92,0.89,0.98,0.91,0.91,0.04
SVM,0.58,0.83,0.75,0.83,0.9,0.75,0.71,0.74,0.84,0.74,0.75,0.09
SVM_c,0.91,0.86,0.91,0.9,0.92,0.83,0.95,0.79,0.97,0.92,0.91,0.05
NB,0.41,0.74,0.67,0.62,0.75,0.57,0.37,0.63,0.65,0.67,0.64,0.09
NB_c,0.47,0.75,0.67,0.66,0.79,0.59,0.42,0.64,0.66,0.68,0.66,0.08
TM,0.73,0.7,0.72,0.8,0.69,0.75,0.77,0.69,0.77,0.89,0.74,0.065
