Metrics,sql12,apache-jmeter-2.10,emf-2.4.1,apache-ant-1.7.0,argouml,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,columba-1.4-src,jruby-1.4.0,median,sqr
Precision,0.79,0.87,0.79,0.58,0.82,0.93,0.77,0.69,0.83,0.81,0.80,0.09
Recall,0.69,0.79,0.59,0.76,0.95,0.74,0.49,0.80,0.88,0.93,0.77,0.22
F1,0.74,0.83,0.68,0.66,0.88,0.83,0.60,0.74,0.85,0.86,0.78,0.18
Cost,0.03,0.04,0.02,0.04,0.17,0.13,0.02,0.06,0.03,0.15,0.04,0.10
Ratio,0.04,0.05,0.02,0.03,0.15,0.16,0.03,0.05,0.03,0.13,,
