Metrics,sql12,apache-jmeter-2.10,emf-2.4.1,apache-ant-1.7.0,argouml,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,columba-1.4-src,jruby-1.4.0
Precision,0.714,0.817,0.829,0.71,0.831,0.95,0.737,0.672,0.851,0.853
Recall,0.683,0.73,0.309,0.204,0.922,0.723,0.2,0.462,0.846,0.81
F1,0.698,0.771,0.45,0.317,0.874,0.821,0.315,0.548,0.849,0.831
